# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 10 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 0.00% complete, ETA 00:30:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 2.646 ops/s
# Warmup Iteration   2: 2.831 ops/s
# Warmup Iteration   3: 2.915 ops/s
# Warmup Iteration   4: 2.797 ops/s
# Warmup Iteration   5: 2.904 ops/s
# Run progress: 91.66% complete, ETA 00:02:32
# Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁷ s/op
# Warmup Iteration   2: ≈ 10⁻⁸ s/op
# Warmup Iteration   3: ≈ 10⁻⁸ s/op
# Warmup Iteration   4: ≈ 10⁻⁸ s/op
# Warmup Iteration   5: ≈ 10⁻⁸ s/op
Iteration   1: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   2: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   3: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   4: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   5: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁵ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   6: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   7: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁵ s/op
                 sortTreeSet·p1.00:   0.001 s/op

Iteration   8: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁵ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration   9: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op

Iteration  10: ≈ 10⁻⁸ s/op
                 sortTreeSet·p0.00:   ≈ 0 s/op
                 sortTreeSet·p0.50:   ≈ 0 s/op
                 sortTreeSet·p0.90:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.95:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.99:   ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.999:  ≈ 10⁻⁷ s/op
                 sortTreeSet·p0.9999: ≈ 10⁻⁶ s/op
                 sortTreeSet·p1.00:   ≈ 10⁻⁵ s/op



Result "ant.far.MyBenchmark.sortTreeSet":
  N = 2442878
  mean =     ≈ 10⁻⁸ ±(99.9%) 0.001 s/op

  Histogram, s/op:
    [0.000, 0.000) = 2442877 
    [0.000, 0.000) = 0 
    [0.000, 0.000) = 0 
    [0.000, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 0 
    [0.001, 0.001) = 1 
    [0.001, 0.002) = 0 
    [0.002, 0.002) = 0 
    [0.002, 0.002) = 0 
    [0.002, 0.002) = 0 

  Percentiles, s/op:
      p(0.0000) =        ≈ 0 s/op
     p(50.0000) =        ≈ 0 s/op
     p(90.0000) =     ≈ 10⁻⁷ s/op
     p(95.0000) =     ≈ 10⁻⁷ s/op
     p(99.0000) =     ≈ 10⁻⁷ s/op
     p(99.9000) =     ≈ 10⁻⁷ s/op
     p(99.9900) =     ≈ 10⁻⁶ s/op
     p(99.9990) =     ≈ 10⁻⁵ s/op
     p(99.9999) =     ≈ 10⁻⁵ s/op
    p(100.0000) =      0.001 s/op


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, single-shot each
# Measurement: 10 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: ant.far.MyBenchmark.insertIntoTreeSet

# Run progress: 100.00% complete, ETA 00:00:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: 0.341 s/op
# Warmup Iteration   2: 0.451 s/op
# Warmup Iteration   3: 0.386 s/op
# Warmup Iteration   4: 0.420 s/op
# Warmup Iteration   5: 0.421 s/op
Iteration   1: 0.396 s/op
Iteration   2: 0.434 s/op
Iteration   3: 0.366 s/op
Iteration   4: 0.364 s/op
Iteration   5: 0.404 s/op
Iteration   6: 0.382 s/op
Iteration   7: 0.410 s/op
Iteration   8: 0.383 s/op
Iteration   9: 0.399 s/op
Iteration  10: 0.362 s/op

# Run progress: 100.00% complete, ETA 00:00:00
# Fork: 1 of 1
# Warmup Iteration   1: 0.298 s/op
# Warmup Iteration   2: 0.365 s/op
# Warmup Iteration   3: 0.389 s/op
# Warmup Iteration   4: 0.407 s/op
# Warmup Iteration   5: 0.363 s/op
Iteration   1: 0.370 s/op
Iteration   2: 0.359 s/op
Iteration   3: 0.363 s/op
Iteration   4: 0.398 s/op
Iteration   5: 0.377 s/op
Iteration   6: 0.396 s/op
Iteration   7: 0.391 s/op
Iteration   8: 0.369 s/op
Iteration   9: 0.397 s/op
Iteration  10: 0.369 s/op


Result "ant.far.MyBenchmark.insertIntoTreeSet":
  N = 10
  mean =      0.379 ±(99.9%) 0.023 s/op

  Histogram, s/op:
    [0.350, 0.353) = 0 
    [0.353, 0.355) = 0 
    [0.355, 0.358) = 0 
    [0.358, 0.360) = 1 
    [0.360, 0.363) = 0 
    [0.363, 0.365) = 1 
    [0.365, 0.368) = 0 
    [0.368, 0.370) = 3 
    [0.370, 0.373) = 0 
    [0.373, 0.375) = 0 
    [0.375, 0.378) = 1 
    [0.378, 0.380) = 0 
    [0.380, 0.383) = 0 
    [0.383, 0.385) = 0 
    [0.385, 0.388) = 0 
    [0.388, 0.390) = 0 
    [0.390, 0.393) = 1 
    [0.393, 0.395) = 0 
    [0.395, 0.398) = 2 

  Percentiles, s/op:
      p(0.0000) =      0.359 s/op
     p(50.0000) =      0.373 s/op
     p(90.0000) =      0.398 s/op
     p(95.0000) =      0.398 s/op
     p(99.0000) =      0.398 s/op
     p(99.9000) =      0.398 s/op
     p(99.9900) =      0.398 s/op
     p(99.9990) =      0.398 s/op
     p(99.9999) =      0.398 s/op
    p(100.0000) =      0.398 s/op


# JMH version: 1.36
# VM version: JDK 19.0.1, Java HotSpot(TM) 64-Bit Server VM, 19.0.1+10-21
# VM invoker: C:\Program Files\Java\jdk-19\bin\java.exe
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, single-shot each
# Measurement: 10 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: ant.far.MyBenchmark.sortTreeSet

# Run progress: 100.00% complete, ETA 00:00:00
# Warmup Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁴ s/op
# Warmup Iteration   2: ≈ 10⁻⁶ s/op
# Warmup Iteration   3: ≈ 10⁻⁶ s/op
# Warmup Iteration   4: ≈ 10⁻⁶ s/op
# Warmup Iteration   5: ≈ 10⁻⁶ s/op
Iteration   1: ≈ 10⁻⁶ s/op
Iteration   2: ≈ 10⁻⁶ s/op
Iteration   3: ≈ 10⁻⁶ s/op
Iteration   4: ≈ 10⁻⁶ s/op
Iteration   5: ≈ 10⁻⁶ s/op
Iteration   6: ≈ 10⁻⁶ s/op
Iteration   7: ≈ 10⁻⁶ s/op
Iteration   8: ≈ 10⁻⁶ s/op
Iteration   9: ≈ 10⁻⁶ s/op
Iteration  10: ≈ 10⁻⁶ s/op

# Run progress: 100.00% complete, ETA 00:00:00
# Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁴ s/op
# Warmup Iteration   2: ≈ 10⁻⁶ s/op
# Warmup Iteration   3: ≈ 10⁻⁶ s/op
# Warmup Iteration   4: ≈ 10⁻⁶ s/op
# Warmup Iteration   5: ≈ 10⁻⁶ s/op
Iteration   1: ≈ 10⁻⁶ s/op
Iteration   2: ≈ 10⁻⁶ s/op
Iteration   3: ≈ 10⁻⁶ s/op
Iteration   4: ≈ 10⁻⁶ s/op
Iteration   5: ≈ 10⁻⁶ s/op
Iteration   6: ≈ 10⁻⁶ s/op
Iteration   7: ≈ 10⁻⁶ s/op
Iteration   8: ≈ 10⁻⁶ s/op
Iteration   9: ≈ 10⁻⁶ s/op
Iteration  10: ≈ 10⁻⁶ s/op


Result "ant.far.MyBenchmark.sortTreeSet":
  N = 10
  mean =     ≈ 10⁻⁶ ±(99.9%) 0.001 s/op

  Histogram, s/op:
    [ 0.000,  0.000) = 4 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 2 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 1 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 1 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 1 
    [ 0.000,  0.000) = 0 
    [ 0.000,  0.000) = 1 

  Percentiles, s/op:
      p(0.0000) =     ≈ 10⁻⁶ s/op
     p(50.0000) =     ≈ 10⁻⁶ s/op
     p(90.0000) =     ≈ 10⁻⁶ s/op
     p(95.0000) =     ≈ 10⁻⁶ s/op
     p(99.0000) =     ≈ 10⁻⁶ s/op
     p(99.9000) =     ≈ 10⁻⁶ s/op
     p(99.9900) =     ≈ 10⁻⁶ s/op
     p(99.9990) =     ≈ 10⁻⁶ s/op
     p(99.9999) =     ≈ 10⁻⁶ s/op
    p(100.0000) =     ≈ 10⁻⁶ s/op


# Run complete. Total time: 00:30:35

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                                  Mode      Cnt          Score          Error  Units
MyBenchmark.insertIntoTreeSet                             thrpt       10          2.720 ±        0.117  ops/s
MyBenchmark.sortTreeSet                                   thrpt       10  548099417.424 ± 13367015.421  ops/s
MyBenchmark.insertIntoTreeSet                              avgt       10          0.366 ±        0.007   s/op
MyBenchmark.sortTreeSet                                    avgt       10         ≈ 10⁻⁹                  s/op
MyBenchmark.insertIntoTreeSet                            sample      268          0.378 ±        0.007   s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.00    sample                   0.333                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.50    sample                   0.369                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.90    sample                   0.429                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.95    sample                   0.450                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.99    sample                   0.501                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.999   sample                   0.513                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p0.9999  sample                   0.513                  s/op
MyBenchmark.insertIntoTreeSet:insertIntoTreeSet·p1.00    sample                   0.513                  s/op
MyBenchmark.sortTreeSet                                  sample  2442878         ≈ 10⁻⁸                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.00                sample                     ≈ 0                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.50                sample                     ≈ 0                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.90                sample                  ≈ 10⁻⁷                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.95                sample                  ≈ 10⁻⁷                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.99                sample                  ≈ 10⁻⁷                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.999               sample                  ≈ 10⁻⁷                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p0.9999              sample                  ≈ 10⁻⁶                  s/op
MyBenchmark.sortTreeSet:sortTreeSet·p1.00                sample                   0.001                  s/op
MyBenchmark.insertIntoTreeSet                                ss       10          0.379 ±        0.023   s/op
MyBenchmark.sortTreeSet                                      ss       10         ≈ 10⁻⁶                  s/op
